lon,lat,age (Ma),Cu (Mt),source,label
-105.0777778,20.37777778,145.0,0.003094,Mosier_2009,positive
-100.1383333,18.19361111,145.0,,Mosier_2009,positive
-100.1327778,18.20638889,145.0,,Mosier_2009,positive
-105.0777778,20.38888889,145.0,0.000603,Mosier_2009,positive
-99.89583333,18.325,120.0,0.015,Mosier_2009,positive
-105.0666667,20.04444444,145.0,0.00182,Mosier_2009,positive
-102.0,22.65,152.0,,Mosier_2009,positive
-100.1166667,18.21666667,120.0,0.0024,Mosier_2009,positive
-100.4,19.075,120.0,0.0315,Mosier_2009,positive
97.3,23.11666667,510.0,0.16368,Mosier_2009,positive
15.32722222,67.08277778,470.0,0.0004,Mosier_2009,positive
9.366666667,61.71666667,500.0,0.0100099999999999,Mosier_2009,positive
16.8075,68.33222222,470.0,0.027,Mosier_2009,positive
14.07805556,66.32722222,470.0,0.0084,Mosier_2009,positive
16.0025,67.15,470.0,0.027,Mosier_2009,positive
16.12277778,67.14722222,470.0,0.000555,Mosier_2009,positive
11.68388889,63.41944444,480.0,0.00052,Mosier_2009,positive
15.96083333,67.14972222,470.0,0.0036,Mosier_2009,positive
9.998888889,62.14222222,470.0,0.045,Mosier_2009,positive
16.055,67.13638889,470.0,0.3081,Mosier_2009,positive
13.45,64.86666667,470.0,0.0229499999999999,Mosier_2009,positive
11.46111111,63.02361111,480.0,0.00072,Mosier_2009,positive
5.883333333,60.01027778,430.0,0.0015,Mosier_2009,positive
9.9,62.03333333,470.0,0.024,Mosier_2009,positive
9.833333333,62.36666667,470.0,,Mosier_2009,positive
11.34777778,62.6225,470.0,0.0447999999999999,Mosier_2009,positive
9.745,63.11472222,480.0,0.0017,Mosier_2009,positive
16.00055556,67.09416667,470.0,0.06975,Mosier_2009,positive
13.88416667,64.85305556,470.0,0.2159,Mosier_2009,positive
11.47305556,62.79472222,470.0,0.051,Mosier_2009,positive
10.5,62.48333333,510.0,0.00375,Mosier_2009,positive
5.436944444,59.72611111,430.0,0.009,Mosier_2009,positive
9.702222222,63.12138889,470.0,0.525,Mosier_2009,positive
11.50194444,63.85916667,480.0,0.002,Mosier_2009,positive
11.64777778,63.36583333,480.0,0.0028799999999999,Mosier_2009,positive
14.43333333,66.24166667,500.0,0.006,Mosier_2009,positive
20.91777778,69.40944444,470.0,0.0024,Mosier_2009,positive
10.08333333,62.06666667,470.0,0.0585,Mosier_2009,positive
16.12416667,67.13861111,470.0,0.046,Mosier_2009,positive
21.6,69.70694444,500.0,0.015,Mosier_2009,positive
11.41111111,62.93722222,470.0,,Mosier_2009,positive
5.25,59.31666667,470.0,0.0242499999999999,Mosier_2009,positive
10.36666667,62.38333333,470.0,0.0104,Mosier_2009,positive
21.01083333,69.40666667,510.0,0.0042,Mosier_2009,positive
15.9925,67.12027778,470.0,0.0378,Mosier_2009,positive
21.69416667,69.4525,470.0,0.00116,Mosier_2009,positive
13.11666667,64.63333333,470.0,0.1,Mosier_2009,positive
11.0,64.0,480.0,0.0045,Mosier_2009,positive
5.082222222,61.50166667,500.0,0.0021,Mosier_2009,positive
9.666666667,62.3,470.0,0.19,Mosier_2009,positive
